Row Labels,<=-2,>-0.25 and <=0,>-0.5 and <=-0.25,>-0.75 and <=-0.5,>-1 and <=-0.75,>-1.25 and <=-1,>-1.5 and <=-1.25,>-1.75 and <=-1.5,>-2 and <=-1.75,>0 and <=0.25,>0.25,Grand Total
04/01/12,,77.4834813,99.9180187,1.249355703,,0.004933354,0.002183658,,,0.179016907,25.85831771,204.6953073
05/01/12,,55.79755309,-0.054275695,1.267974141,-0.003349427,1.401946885,-0.001664084,,,0.318149521,32.76933083,91.49566526
06/01/12,,0.408249844,2.326719012,0.219557024,0.349293288,,0.000316606,,,7.442361387,29.01335082,39.75984798
07/01/12,,-0.057417417,1.304380972,-0.001765294,15.06684117,0.000613396,,,,0.393632887,30.36354619,47.0698319
08/01/12,,2.058159697,-0.588797032,0.743496642,,0.000901989,,,,0.504701188,30.26346009,32.98192257
09/01/12,,1.902284914,0.000196568,0.622165958,,21.95472104,,,,0.333228632,23.93284005,48.74543716
10/01/12,,1.98337569,0.099092653,0.619800987,,0.100396964,,,,0.41342689,30.70906476,33.92515794
11/01/12,,1.144835388,0.001241523,-0.938149468,12.80633772,,,,,0.082167121,31.88303523,44.97946751
12/01/12,,0.099162499,1.613665675,,0.157990955,,,,,1.824860923,31.23745748,34.93313753
01/01/13,,0.199776522,1.024851851,,0.159038072,,,,,1.701593898,28.05175865,31.13701899
02/01/13,,1.005621145,0.001536699,0.822823968,0.161845477,,,,,-0.231029797,29.05797818,30.81877567
03/01/13,,1.602616588,0.099870741,0.561241467,,0.161130808,,,,1.42943644,31.47434138,35.32863742
04/01/13,,1.661095084,0.083611374,0.562307914,,0.162172701,,,,1.414801947,34.55400015,38.43798917
05/01/13,,1.041520523,-0.000601636,1.423616398,0.163212798,,,,,0.109153222,31.85044728,34.58734859
06/01/13,,7.061855481,0.116756898,1.043413926,,99.99436906,,,,4.971185084,23.18571813,136.3732986
07/01/13,,1.765505615,2.941296202,0.160834508,0.098043418,0.778274789,-0.00063224,0.480432396,,5.112224237,26.48847031,37.82444924
08/01/13,,0.154550643,0.171491224,4.509753475,0.163452478,0.021105002,0.786834919,0.001605173,0.48959599,3.762530598,24.16507647,34.22599597
09/01/13,,6.208460915,0.186858804,0.135081423,3.082589463,0.098155556,0.000744808,0.722874948,21.0446441,6.504360049,18.36037511,56.34414518
10/01/13,,9.015399771,14.33894361,2.507809094,8.518653887,0.173120873,-0.002033456,0.728901345,34.72395349,7.624907688,19.56374876,97.19340506
11/01/13,1.314849565,5.135648989,10.37836536,3.674624459,0.178197883,0.5213821,5.896778894,0.61223324,1.981530343,6.855814899,18.18486753,54.73429326
12/01/13,0.678546749,8.207992453,6.01507338,2.601757598,0.289362989,0.327164569,0.424927012,3.173699369,3.385445982,11.9349134,18.99507166,56.03395516
01/01/14,1.071340051,8.450301363,0.571272458,2.738421297,6.45777588,8.492195764,0.672068643,0.795972708,0.789956281,14.36843364,17.56902235,61.97676044
02/01/14,0.997037333,7.189791804,2.55250483,4.838762052,4.861464731,2.97195957,2.502847087,4.713044459,0.626561034,5.238037521,12.14044036,48.63245078
03/01/14,1.460432782,10.88025484,4.354653354,0.140943126,1.086658666,0.343567389,10.41545882,0.891621284,0.87719759,12.94086304,13.68862571,57.0802766
04/01/14,2.306322853,6.315221047,4.607139598,0.110531821,6.19129668,3.9624229,10.02177786,1.01603793,0.626203511,3.619937961,14.14192578,52.91881794
